,Node 1,Node 2,Node 3,Node 4,Node 5,Node 6,Node 7,Node 8,Node 9
Time (raw),TDS (Volts),TDS (Volts),TDS (Volts),TDS (Volts),TDS (Volts),TDS (Volts),TDS (Volts),TDS (Volts),TDS (Volts)
0.001863439,0.0032,0,0,0,0,0,0.0143,0.061,0.077
0.001873555,0.0032,0,0,0,0,0,0.025,0.0642,0.077
0.00188367,0.0032,0,0,0,0,0,0.0179,0.0642,0.077
0.001893786,0.0032,0,0,0,0,0.0071,0.025,0.0642,0.077
0.001903902,0.0032,0,0,0,0,0,0.0179,0.0642,0.0802
0.001914018,0,0,0,0,0,0.0106,0.025,0.0642,0.0802
0.001924133,0,0,0,0,0,0,0.0179,0.0674,0.0802
0.001934249,0.0032,0,0,0,0,0.0071,0.0179,0.0674,0.0802
0.001944366,0,0,0,0,0,0,0.0179,0.0674,0.0802
0.001954482,0.0032,0,0,0,0,0,0.025,0.0674,0.0802
0.001964597,0.0032,0,0,0,0,0,0.0179,0.0706,0.0802
0.001974713,0.0032,0,0,0,0,0,0.025,0.0706,0.0802
0.001984829,0.0032,0,0,0,0,0,0.025,0.0706,0.0802
0.001994945,0.0032,0,0,0,0,0,0.025,0.0738,0.0802
0.002005061,0.0032,0,0,0,0,0,0.0179,0.0738,0.0802
0.002015176,0,0,0,0,0,0.0106,0.025,0.0738,0.0802
0.002025292,0.0032,0,0,0,0,0,0.025,0.077,0.0802
0.002035408,0.0032,0,0,0,0,0,0.0179,0.077,0.0802
0.002045524,0.0032,0,0,0,0,0,0.0179,0.077,0.0802
0.00205564,0.0032,0,0,0,0,0,0.0179,0.077,0.0802
0.002065756,0.0032,0,0,0,0,0,0.0179,0.0802,0.0802
0.002075872,0.0032,0,0,0,0,0.0106,0.0179,0.0802,0.0802
0.002085988,0.0032,0,0,0,0,0.0106,0.0286,0.0802,0.0802
0.002096103,0.0032,0,0,0,0.0032,0.0036,0.0286,0.0802,0.0802
0.002106219,0.0032,0,0,0,0.0032,0.0141,0.0286,0.0802,0.0802
0.002116335,0.0032,0,0.0032,0,0.0064,0.0141,0.0286,0.0802,0.0802
0.002126451,0.0032,0,0.0064,0,0.0096,0.0036,0.025,0.0802,0.0835
0.002136567,0.0032,0,0.0096,0,0.0128,0.0071,0.0215,0.0802,0.0835
0.002146682,0.0064,0,0.0128,0.0032,0.016,0.0071,0.0215,0.0802,0.0802
0.002156798,0.0096,0,0.016,0.0064,0.0193,0.0071,0.0286,0.0802,0.0802
0.002166915,0.0128,0,0.0193,0.0096,0.0193,0.0141,0.0286,0.0802,0.0835
0.002177031,0.016,0,0.0193,0.0128,0.0225,0.0141,0.0286,0.0802,0.0835
0.002187146,0.0193,0,0.0225,0.0128,0.0225,0.0071,0.0215,0.0802,0.0835
0.002197262,0.0225,0,0.0257,0.016,0.0225,0.0176,0.0215,0.0802,0.0835
0.002207378,0.0257,0,0.0257,0.0193,0.0257,0.0176,0.0215,0.0802,0.0835
0.002217494,0.0289,0,0.0289,0.0193,0.0257,0.0176,0.0215,0.0802,0.0835
0.002247933,0.0353,0,0.0321,0.0225,0.0257,0.0176,0.0286,0.0802,0.0835
0.00225805,0.0385,0.0032,0.0353,0.0257,0.0289,0.0176,0.0215,0.0802,0.0835
0.002268165,0.0385,0.0032,0.0385,0.0257,0.0289,0.0106,0.0215,0.0802,0.0835
0.002278281,0.0417,0.0064,0.0385,0.0289,0.0289,0.0141,0.0215,0.0802,0.0835
0.002288397,0.0417,0.0096,0.0417,0.0289,0.0321,0.0141,0.0215,0.0802,0.0835
0.002298513,0.0449,0.0128,0.0449,0.0321,0.0321,0.0141,0.0215,0.0802,0.0835
0.002308629,0.0449,0.016,0.0481,0.0321,0.0321,0.0141,0.0286,0.0802,0.0835
0.002318744,0.0481,0.0193,0.0514,0.0353,0.0353,0.0211,0.0215,0.0802,0.0835
0.00232886,0.0514,0.0225,0.0546,0.0353,0.0353,0.0176,0.0286,0.0802,0.0835
0.002338976,0.0514,0.0257,0.0578,0.0385,0.0353,0.0247,0.0286,0.0802,0.0835
0.002349092,0.0546,0.0257,0.0578,0.0385,0.0385,0.0176,0.0215,0.0802,0.0835
0.002359207,0.0578,0.0289,0.061,0.0385,0.0385,0.0247,0.0215,0.0835,0.0835
0.002369324,0.0578,0.0321,0.0642,0.0385,0.0385,0.0176,0.0215,0.0835,0.0835
0.00237944,0.061,0.0353,0.0674,0.0417,0.0417,0.0176,0.0215,0.0835,0.0835
0.002389556,0.061,0.0353,0.0674,0.0417,0.0417,0.0211,0.0286,0.0835,0.0835
0.002399671,0.0642,0.0385,0.0706,0.0417,0.0449,0.0211,0.0215,0.0835,0.0835
0.002409787,0.0674,0.0385,0.0706,0.0449,0.0449,0.0282,0.0215,0.0835,0.0835
0.002419903,0.0674,0.0417,0.0706,0.0449,0.0449,0.0282,0.0215,0.0835,0.0835
0.002430019,0.0706,0.0449,0.0738,0.0449,0.0481,0.0282,0.0215,0.0835,0.0835
0.002440134,0.0738,0.0449,0.0738,0.0481,0.0481,0.0211,0.0286,0.0835,0.0835
0.00245025,0.0738,0.0481,0.0738,0.0481,0.0514,0.0211,0.0286,0.0835,0.0835
0.002460366,0.077,0.0514,0.0738,0.0481,0.0514,0.0282,0.0215,0.0835,0.0835
0.002470482,0.077,0.0514,0.077,0.0514,0.0546,0.0211,0.0215,0.0835,0.0835
0.002480598,0.0802,0.0546,0.077,0.0514,0.0546,0.0211,0.0286,0.0835,0.0835
